CHARACTER	DIALOGUE
PERSEUS	Master Amoun! He hurries over to the older man, who embraces him warmly.
AMOUN	Porpoise... You've grown tall and strong since my departure. Perseus laughs at his old nickname and holds Amoun at
PERSEUS	What are you doing here?
AMOUN	I am honored to serve the King as an advisor. His Magi Strategos.
PERSEUS	From my village tutor to Magi Strategos... What a path! The King's patience is exhausted. To Cassiopeia
KEPHEUS	Where is Andromeda? At the least, the two should meet before tomorrow's ceremony... Tomorrow? Is the wedding so soon?
CASSIOPEIA	The wedding comes later. Tomorrow we will have the public announcement.
AMOUN	And a celebration of the treaty. A Page enters and whispers in Kepheus' ear. Kepheus is
KEPHEUS	It seems our Andromeda has wandered away. Cassiopeia reacts, upset.
AMOUN	Perhaps the thought of her new life has made her frantic to enjoy the vestiges of her old one.
KEPHEUS	Perseus, if you're to take the wild girl for a wife, this is a good time to start your training. Go into the city and retrieve her.
PERSEUS	How will I know her?
CASSIOPEIA	She is unmistakable.
PERSEUS	I'm a stranger here. Any hints?
AMOUN	Follow the lights and the sound of profane music. Suddenly, a heavy wall shoots up from the cobblestones, On the other side, she emerges from the stone, breathing She's gone only a few steps, when just ahead of her, thick vines shoot out and form a dense barrier. She
WILTING GIRL	Zeus? Zeus' rumbling voice is held low, talking to her in an Why do we have to play these games, my lovely girl? You know you cannot leave. The vines retract, freeing her. She rubs where they gripped her.
WILTING GIRL	My part is finished.
ZEUS (V.0.)	It has just begun. Have you forgotten your place in this?
WILTING GIRL	As I've lost my believers, the future has become dimmer to me.
ZEUS (V.O.)	I still believe in you. Close your eyes and see your tomorrow. She closes her eyes and takes a deep breath. A single
WILTING GIRL	It's too painful. I can't involve myself.
ZEUS (V.O.)	You you already involved. Such is fate. We cannot hide from the .trials of our future... no matter how dark the alleyway. She looks back at the Basilica with profound sadness. Perseus moves through the revelry, looking at every girl, Andromeda is dancing at the center of attention, her
PERSEUS (O.S.)	Very beautiful. Andromeda spins, petulant.
ANDROMEDA	Will you please give me some The sight of the handsome stranger gives her pause.
ANDROMEDA	What did you say?
PERSEUS	I said, 'Very beautiful.'
ANDROMEDA	Do you think just anyone can make intimate judgements on the royal family?
PERSEUS	I meant the sunset. She regards Perseus over her glistening bare shoulder.
ANDROMEDA	Do you always start a seduction with an insult? Perseus moves to the rail, very close to her, and looks
PERSEUS	I know nothing of seduction. I'm a simple fisherman. My home is across that water.
ANDROMEDA	What brings you here?
PERSEUS	To Joppa? I was kidnapped.
ANDROMEDA	I mean here, tonight. He looks over at her a long moment.
PERSEUS	I've come to see my future wife. Startled, Andromeda suddenly realizes who he is. A mad
ANDROMEDA	It's not personal. You're not a bad-looking boy. I'm too young. I don't want to be married.
PERSEUS	Me either.
ANDROMEDA	Then why are you doing it?
PERSEUS	No one asked me. And now that I've met you, I don't know if I can go through with it. It's not personal. Seeing you makes it real. I think a man should make his own decisions. I won't be the pawn of a King or a God. She looks at him with new interest.
ANDROMEDA	Since we agree, it's settled. No marriage.
PERSEUS	I don't think it's going to be that simple. Ignoring that, she takes his arm, moving even closer.
ANDROMEDA	That doesn't mean we can't be friends. Get to know each other. I want to show you something. She leads him into a tall, hedged garden maze.
PERSEUS	I'm already lost.
ANDROMEDA	I'll take care of you. They take two more jogs and find themselves in an odd sylvan chamber. Soft plants have been stacked in what could be mistaken for a bed.
ANDROMEDA	This is my special place. No one can see or hear or even find us now.
PERSEUS	I don't suppose I could escape without your aid.
ANDROMEDA	Do you want to? When he turns back to her, she melts into his arms and down, holding her at bay.
ANDROMEDA	Do you not find me attractive?
PERSEUS	One of the most beautiful women I've ever seen.
ANDROMEDA	Of course, you haven't been much in the world.
PERSEUS	True. Maybe a lot of girls look like you.
ANDROMEDA	Don't you want to make love to your almost-wife? Maybe we'll find we're not compatible.
PERSEUS	What if we find we're very compat-- She stops him with another kiss. He starts to surrender
ANDROMEDA	Is it true you're a demigod?
PERSEUS	It seems what everyone wants to believe. Her face is inches from his. She looks into his eyes.
ANDROMEDA	I don't see it. But let's find out for sure... She kisses him yet again, pulling him toward the bed of into the softness. He kisses her passionately as their
ANDROMEDA	I think I'm becoming a believer... They start to make love. Tiamat, I know this place, but I know not why.
TIAMAT (V.0.)	In this chamber Zeus defiled the Queen Danae and begat the anointed demigod, who would facilitate this foul truce.
SET (V.0.)	Ah, the former palace of the cursed Acrisius.
TIAMAT (V.0.)	The King who stood against Zeus and was crushed for it, though he was not the offender. But this is not his former home...
TIAMAT (V.0.)	still he dwells in rancid hate, having killed his generals and sucked their bones. We cannot break the rules of Zeus and interfere with the humans. But this poor creature can do our work and visit the would-be groom. What form of monster do you visit upon Perseus? There is an awful SOUND from the darkness of an archway.
TIAMAT (V.0.)	What form, dear Set? Why this... In the half-light appears the huge, deformed changeling:
TIAMAT (V.O.)	My Servant, your lonely solitude now ends... It's time to leave.
ANDROMEDA	You're late.
PERSEUS	I didn't know how to get this outfit on.
ANDROMEDA	I want to thank you for seeing me home. I was so flushed with wine I can't recall much of the evening. Perseus half smiles and turns to the crowd.
PERSEUS	Me either. watches from the back of the hall. When they make eye
BACK TO SCENE	Perseus is surprised by his feelings. Andromeda has seen At what point do you plan to tell them we're not getting married?
PERSEUS	Tell who?
ANDROMEDA	Them...
FROM BEHIND THEM	We see the ecstatic crowd of thousands, all celebrating
ROYAL HERALD (0.5.)	The Queen will speak! The room QUIETS as Cassiopeia moves front-and-center of
