CHARACTER	DIALOGUE
F.B.I. DIRECTOR WOMACK	Show Attorney Reynolds outside there's a car waiting for him. And SANCHEZ -
GOODSPEED	Sir, that's a legal document.
F.B.I. DIRECTOR WOMACK	I'll decide what's legal, Goodspeed. AS --
GOODSPEED	those references to Alchimadus, Beckett, Solzhenitsyn: had something in common. up the coin. It has a DEEP BURR it. He moves to the mirror; begins carving into the glass.
GOODSPEED	They were imprisoned for doing nothing wrong. What's going on, sir?
F.B.I. DIRECTOR WOMACK	You're out of your depth, Goodspeed. You are on a need to know basis and you do not need to know.
MASON	one more thing: a shave and a haircut. Hello Womack.
CPT. GILER	What it's all about, sir: Willy Peter burns steel, burns titanium; it'll sure burn up your poison and everything else in the atmosphere.
GENERAL PETERSON	I need four F-16's equipped with air-to-ground missiles within... .... twenty-six hours.
LT. FISK	Let me name some things that are more possible, General, with
CPT. GILER	Can't do it, General.
GENERAL PETERSON	You can. And you will.
CPT. GILER	Get yer minds off Budweiser, baseball, and broads, fellahs - we're goin, ,round the clock!
CARLA	Hi! Bill and Carla ain't in! State your business! Make it interesting!
GOODSPEED	Listen Carla: I'll explain later, but don't come to San Francisco.
GOODSPEED	I repeat, don't come to San Francisco.
CARLA	Like hell I'm not... that MASON is staring at him.
MASON	Who's Carla? And why don't you want her to come to San Francisco?
GOODSPEED	You're on a need to know basis and you don't need to know.
MASON	You learn that line in Cub Scouts, Goodspeed? F.B.I.Agents Star and Hunt are in the Jackets off, shoulder holsters on.
F.B.I. DIRECTOR WOMACK	I personally picked this suite. Only one exit. from the shower wearing a huge hotel them.
MARSHAL CORD	Put 'em on. You've got forty-five minutes.
MASON	You going to stand there and watch?
MARSHAL CORD	That's right.
MASON	well if it excites-you ...
MARSHAL CORD	Put the goddamn clothes on.
BARBER	I can't do a decent job with these.
F.B.I. DIRECTOR WOMACK	That's all you get.
BARBER	I'm an artist, not a barber.
F.B.I. DIRECTOR WOMACK	without these he can't stab you in the throat.
MASON	Shall we do this outside? In the sunshine?
THE SUITE'S BALCONY MASON	in the sun on a balcony chair. Bib
BARBER	How would you like it sir?
MASON	whatever's in style.
BARBER	oh fabulous. You look shabby. Shall I snip and cut the shabbiness away? himself.
MASON	Good. Thank-you.
MASON	Yes of course. My secretary will take care of you.- See to the good man will you?
MASON	What say we bury the hatchet, Womack.
MASON	In your head. the balcony, clutching the other end of the nylon staring at Goodspeed. Jesus... JESUS CHRIST....
MASON	- Drop the gun or I'll drop your boss.
F.B.I. AGENT	Holy shit, we got a jumper.
F.B.I. AGENT 2	Looks like.... Womack... ! GOODSPEED as before.
MASON	Whoops .... I'm feeling tired .... Whoops .... MASON lets Womack drop a foot. Womack SCREAMS! GOODSPEED bolts from the balcony into the suitels library. Directory Womack, red-faced and sputtering, over the railing.
GOODSPEED	All units, this is Caretaker. WE'VE GOT A SIGNAL SIX. Mason's in the elevator! Let me know where he stops!
GOODSPEED	looking at MASON getting into the HUMVEE. The Humvee
GOODSPEED	That's him!
RADIO NEWSMAN	This just in: More than twenty highway patrolmen are involved in a highspeed chase on Van Ness Boulevard, north of Trocadero looks at Humvee's CELLULAR PHONE. Grabs it. Studies it. He's
MASON	Modern conveniences. Cheers. (punches numbers) San Francisco.
JADE ANGELOU	Hello?
MASON	Is this Jade Angelou?
JADE ANGELOU	Yes. Who is this?
MASON	John Mason. Don't be shocked. I don't have much time. Please listen carefully ....
GOODSPEED	Where is he sir? RIGHT IN FRONT OF ME. What's he doing? HE'S ON THE PHONE. I DON'T FUCKING KNOW, HIS STOCKBROKER! Oh shit. looks at SPARKLETTS BOTTLES bearing down on him GOODSPEED Shit shit SHIT SHIT ... the fucking air bag.
GOODSPEED	It's not mine.
MOTORCYCLE KID	Way cool.
GOODSPEED	Neither is this.
ISHERWOOD	Chem weapons. Isherwood.
GOODSPEED	Marvin, ring up Wolfburg Federal Pen. The inmate is Mason, John.
ISHERWOOD	Wolfburg, got it. Masconi, Magrane, Masters. No MASON in Wolfburg, Bill, is this arelative of yours... ?
GOODSPEED	NOT NOW Isherwood. Go to February 1976. Who was transferred to Wolfburg from San Quentin that year?
ISHERWOOD	Two guys. Joseph Wainwright, and a.... they don't have a name, just "inmate 9999?"
GOODSPEED	Hit nine nine nine nine.
ISHERWOOD	This is weird. They got medical records, place of birth - Glasgow? but no name. Wait a minute, there's a next of kin. Jade Angelou of 32 Stenson Drive, San Francisco. Bill did you, like, fuck something up? Bill? Bill?
MASON	Jade. THE COLUMN - MASON AND JADE Jade approaches MASON to'him. Hello. Yes. It's me.
JADE	I uhm... I'm not quite sure what to say. This is all a bit much POLICE CARS ROAR past, sirens BLARING. MASON PAPER.
MASON	Let's uhm... let's walk a ways. on the other side of the hedge. INTERCUT between MASON out his cellular phone, begins punching numbers.
JADE	So how long have you been out?
MASON	A while.
JADE	A while. And you didn't call? You are free now, right?
MASON	I'm here with you, aren't I?
JADE	Why now? I mean why today.
MASON	I was driving through San Francisco. I decided it was time.
JADE	Well there's not a lot I know about you other than you escaped from San Quentin, had a four day affair with my mother, and I'm the result.
MASON	I tried to explain in my letters.
JADE	Ahh. Your letters. They weren't very easy to follow.
