CHARACTER	DIALOGUE
RALEIGH	At first it's no more than a haze on the horizon, the ghost of a haze, the pure line corrupted. But clouds do that, and storms. So you watch, you watch.
RALEIGH (V.O.)	Then it's a smudge, a shadow on the far water. For a day, for another day, the stain slowly spreads along the horizon, and takes form - until on the third day you let yourself believe. You dare to whisper the word - land!
RALEIGH	Land. Life. Resurrection. The true adventure. Coming out of the vast unknown, out of the immensity, into safe harbour at last. That - that - is the New World. May 1 Blue Draft - p. 39
ELIZABETH (V.O.)	The Queen does not have a private life. Elizabeth is on the throne. The Archduke Charles and his
ELIZABETH	The Queen lives for her people. You will therefore forgive me, sir, if after much thought and prayer I decline your offer of marriage.
ARCHDUKE CHARLES	
ELIZABETH	a hurry to grow old. Youth is so
BESS	Well? Are you satisfied with the Queen's favour?
RALEIGH	She listened as if she understood me.
ESS	Then I shall expect some gratitude. R
ALEIGH	What do you want? May 1 Blue Draft - p. 40
BESS	I expect I'll think of something.
ELIZABETH	Mr. Raleigh. 35A Elizabeth and Raleigh walk together around the perimeter
ELIZABETH	I like your immensities. Your ocean is an image of eternity, I think. Such great spaces make us small. Do we discover the New World, Mr Raleigh, or does the New World discover us?
RALEIGH	You speak like a true explorer.
ELIZABETH	I like you, Mr Raleigh.
RALEIGH	And I like you.
ELIZABETH	You know, of course, that when I like a man, I reward him.
ALEIGH	I have heard that.
ELIZABETH	And what have you to say about it? R ALEIGH Reward my mission, majesty, not me.
ELIZABETH	Is the mission not the man? RALEIGH Leave me free to like you in return. That can be my reward.
ELIZABETH	Go on.
RALEIGH	I think it must be hard for so great a Queen to know the simple pleasure of being liked for herself.
ELIZABETH	Now you become dull.
RALEIGH	Mine!
ELIZABETH	You have - the stronger horse.
Y RALEIGH	ours carries the lighter load.
ELIZABETH	The Queen does not give way to others. Raleigh stops his horse. Elizabeth rides on up to him and
RALEIGH	Whoa! Whoa! Forgive me, majesty. My horse doesn't know his place yet Elizabeth looks at him, amused, intrigued.
ELIZABETH	Have you ever known your place, Mr. Raleigh? urges her horse forward, forcing Raleigh to catch up. I'm surprised you're not married yet.
RALEIGH	I'm a sailor, majesty. ELIZABETH And can sailors not be lovers?
RALEIGH	
ELIZABETH	Ah, I see. You like love better
Your majesty is not eager to be	married?
ELIZABETH	When I marry, I marry for my country. When I love, I love for myself.
RALEIGH	Some... ELIZABETH You've yet to meet your equal? hesitates. She understands him. RALEIGH I would want someone who knows me as I am. it is Elizabeth who hesitates. He understands her as
ELIZABETH	You want a friend, not just an equal. You want someone to share your joy when you're happy. Someone to cry with when you're sad. Someone to talk to when there's nothing to say. Someone to find by your side when you wake in the night. Someone who remembers what you once were, when you've grown old. She turns to him with a smile. Ah yes. I know all about it. There. I'm rested now. She turns her horse around in the direction from which they We can be something to each As they near the courtiers, Raleigh splits off. Bess away. Bess makes her way down the dark palace corridor, stepping Cloaked and hooded, Bess passes quietly down an alley, A man closes the door behind his visitor. Bess shakes off
BESS	George! What's wrong? Is your father alright? THROCKMORTON He's old. He won't live long now. Thank you for coming, dear Bess.
BESS	I was worried. You must send me no more letters. You know what would happen if I was caught. THROCKMORTON I need your help. BESS Do you need more money? THROCKMORTON My father is a tired old man. We don't want to hide like this to court.
BESS	You are known Papists.
THROCKMORTON	The Queen loves you. Speak to her.
BESS	I cannot betray the Queen.
THROCKMORTON	You are not betraying her. My
father and I will embrace the new	faith. is suspicious and starts to leave. BESS Don't put me in danger like this.
THROCKMORTON	Cousin Bess, we've known each other all our lives. I would do nothing to harm you. BESS I'm sorry. THROCKMORTON If they catch us, they will kill us. Our lives are in your hands. Double Blue - july 8 - p.43D A group of the Queen's ladies make their way down the Bess hurries ahead of the others through the Privy Chamber
LIZABETH	Don't tease me, Mr Raleigh. There's nothing I'd like to do more.
RALEIGH	So why don't you?
ELIZABETH	Alright, then. I will.
ELIZABETH	See! You lie! You don't want me on your ship at all. You're a liar! Elizabeth now takes in Bess.
ELIZABETH	Would you like to go to sea, Bess?
BESS	Majesty?
RALEIGH	I'm afraid that's not possible. Women bring bad luck on board ship.
ELIZABETH	Oh, do they?
RALEIGH	Lock up a hundred men in a space smaller than this room, for months at a time - Men have needs. A beautiful woman like you would drive us all mad.
ELIZABETH	Men have needs?
ELIZABETH	Then let them stay on land and see to their needs. Mr Raleigh is eager to sail away to his infant colony, Bess. We must persuade him to stay a little longer, mustn't we? 42A Raleigh is leaving. Walsingham has been waiting for him. He WALSINGHAM Mr Raleigh. A word of advice. The Queen chooses to show you favour. You naturally wish to take advantage of that. Don't ask for too much. RALEIGH You think all I want is money.
WALSINGHAM	I hope all you want is money.
RALEIGH	You think I'm a cynical adventurer, with little breeding and less education. You're wrong. I'm a cynical adventurer with little breeding and an excellent education. WALSINGHAM I begin to see why the Queen likes you. A soft knock on the door. Francis Throckmorton goes to the
HROCKMORTON	Bess? 44A-B Multiple images of Elizabeth, naked. Strange misty B ess Throckmorton has the job of holding the Queen's hair
ELIZABETH	No, don't stop. I like it.
ELIZABETH	Is it true, Bess? That I've never known the simple pleasure of being liked for myself?
BESS	I hope you believe that I like you for yourself, my lady. ELIZABETH Is anybody ever liked just for themselves? Are you? I doubt it. Men like you because you're pretty. And because you have the ear of the Queen. May 1 Blue Draft - p. 50
BESS	No doubt, my lady.
ELIZABETH	Him too. He likes you because he wants my favour. You do realise that?
BESS	Yes, my lady.
ELIZABETH	And the other thing too, of course. But all men want that. Male desire confers no B distinction.
LIZABETH	I envy you, Bess. You're free to have - what I can't have. You're my adventurer. Don't be afraid. It's all over so soon.
WALSINGHAM	Still nothing to tell me, Mr Throckmorton? T HROCKMORTON My soul will go free soon.
WALSINGHAM	I know about the Enterprise. I need names. But if you won't help me, perhaps your father will.
WALSINGHAM	He's been questioned, as you have. I do have to know, you see.
THROCKMORTON	No!
THROCKMORTON	Enough! You want a name, I'll give you a name.
WALSINGHAM	Well? 46A 46B Elizabeth passes down a hallway at a brisk pace, Hatton by HATTON Another letter has come from Mary Stuart, majesty. Asking to meet you.
ELIZABETH	Filled with declarations of love?
HATTON	As always.
ELIZABETH	If she wants my love, let her deserve it. Refused. Elizabeth enters her private quarters, now moving with
ELIZABETH	Mr Raleigh. I've kept you waiting.
RALEIGH	You have more important concerns
ELIZABETH	There is always other business. But I have been waiting too. Walsingham enters.
WALSINGHAM	Majesty.
ELIZABETH	Yes, Walsingham?
WALSINGHAM	The traitor has talked, majesty. The traitor Throckmorton.
ELIZABETH	Forgive me, sir. As you see, my time is not my own. May 1 Blue Draft 28 June - p. 53 The torturer, now off duty, is standing in the open doorway T ORTURER Harry?
TORTURER	You'll never guess what I heard - Now there are guards everywhere. The whole palace is on
