film_title,bechdel_test,male_rating,male_num_reviews,female_rating,female_num_reviews,majority_reviewer_gender,gender_who_preferred,large_diff
Les Reines du Ring (English: Wrestling Queens),pass,5.4,134,6.3,23,male,female,TRUE
The Lifeguard,pass,5.4,4023,6.1,2395,male,female,TRUE
The Lone Ranger,fail,6.5,85798,6.9,19918,male,female,TRUE
The Look of Love,pass,6,2215,6.2,495,male,female,FALSE
Lost In Living,pass,no data,no data,no data,no data,no data,no data,
Love & Air Sex,pass,5.2,233,5.7,44,male,female,TRUE
Lovelace,pass,6.1,11757,6.4,5113,male,female,TRUE
The Lunchbox,pass,8,5702,7.9,890,male,male,FALSE
Machete Kills,pass,5.7,26490,5.7,2665,male,equal,FALSE
Madoka Magica: Rebellion Story,pass,7.8,154,7.4,45,male,male,TRUE
Mama,pass,6.2,56323,6.4,20705,male,female,FALSE
Man of Steel,pass,7.4,270132,7.2,46421,male,male,FALSE
Man of Tai Chi,pass,6.1,12832,6.1,1080,male,equal,FALSE
Mandela: Long Walk to Freedom,fail,7,6506,7.4,1658,male,female,TRUE
Mary and Martha,pass,6.5,708,7.4,519,male,female,TRUE
Meine Schwestern,pass,6.1,33,7,6,male,female,TRUE
Michael Kohlhaas,fail,6.3,1110,6.5,263,male,female,FALSE
Mobius,pass,6.1,1815,6.3,385,male,female,FALSE
Monsters University,fail,7.4,87444,7.7,30297,male,female,FALSE
The Mortal Instruments: City of Bones,pass,5.5,28439,6.9,25954,equal,female,TRUE
Moving Mountains,pass,no data,no data,no data,no data,no data,no data,
Mt. Zion,fail,5.6,82,5.7,49,male,female,FALSE
Mud,fail,7.5,55518,7.3,10681,male,male,FALSE
My Little Pony: Equestria Girls,pass,6.2,1116,6.6,425,male,female,TRUE
Nazotoki wa Dinner no Ato de (The After-Dinner Mysteries),fail,6.3,54,5.5,13,male,male,TRUE
Nebraska,pass,7.9,30594,7.8,6358,male,male,FALSE
Night Train to Lisbon,fail,6.7,3898,6.9,1213,male,female,FALSE
Now You See Me,fail,7.2,188705,7.7,57635,male,female,TRUE
The Numbers Station,fail,5.5,8748,5.5,1260,male,equal,FALSE
Nymphomaniac: Volume 1,pass,7.3,13159,7.5,4635,male,female,FALSE
Nymphomaniac: Volume 2,pass,7.1,6863,7.3,2286,male,female,FALSE
O Tempo e o Vento,pass,6.2,267,5.7,73,male,male,TRUE
Oblivion,fail,7.1,186175,6.8,29196,male,male,FALSE
Oldboy,fail,5.5,16629,5.4,2074,male,male,FALSE
Olympus Has Fallen,fail,6.4,101877,6.9,17864,male,female,TRUE
Only God Forgives,pass,5.9,42670,5.5,6760,male,male,TRUE
Only Lovers Left Alive,pass,7.4,5097,7.9,3738,male,female,TRUE
Orphan Black,pass,8.2,8981,8.7,6784,male,female,TRUE
Out of the Furnace,fail,6.9,26237,6.8,3568,male,male,FALSE
Oz the Great and Powerful,pass,6.4,87341,6.5,33821,male,female,FALSE
Pacific Rim,fail,7.1,178634,7.2,28362,male,female,FALSE
Pain & Gain,fail,6.5,79752,6.1,9588,male,male,TRUE
Parker,pass,6.2,47824,6.3,6444,male,female,FALSE
