film_title,male_rating,female_rating
Girl in Progress,5.2,5.8
Girl Vs. Monster,4.9,6.4
Gone,5.8,6.2
Goodbye,7.2,7.7
Grabbers,6.2,6.3
The Grey,6.8,6.5
The Guilt Trip,5.7,6
Gyo,5.8,6.1
Hannah Arendt,7.1,7.4
Hannibal,8.5,8.6
The Haunting of Whaley House,3.8,4
Hemingway & Gellhorn,6.3,6.5
The History of Future Folk,7.1,7.3
Hit and Run,6.1,6.3
Hitchcock,6.9,7
The Hobbit: An Unexpected Journey,8,8.2
Holy Motors,7.1,7.1
Hope Springs,6.3,6.4
Hotel Transylvania,7,7.4
House at the End of the Street,5.4,5.9
The Hunger Games,7,7.9
Hyde Park on Hudson,5.8,5.9
I Belong,6.7,6.6
If I Were You,6.5,7.4
Ill Manors,7,7.1
The Impossible,7.5,7.9
In The Dark Half,5.4,6
Inch'Allah,6.8,6.9
Interview with a Hitman,5.7,5.7
Iron Sky,6,5.9
It's a Disaster,6.5,6.4
Jack and Diane,4.2,4.8
Jack Reacher,7,6.8
Jagten,8.3,8.3
Jayne Mansfield's Car,6.3,6.3
John Carter,6.6,6.7
John Dies at the End,6.5,6.4
Kahaani,8.2,8.2
Kapringen,7.2,7.3
The Key and the Frame,no data,no data
Killer Joe,6.8,6.5
Killing Them Softly,6.3,5.8
Kiss of the Damned,5.5,5.7
Klip,5.8,6.4
Kon-Tiki,7.3,7.4
La cinquieme saison,7.1,7.1
Lake Effects,4.9,6.2
Lawless,7.3,7.5
Le grand soir,5.8,6.1
Le prenom,7.2,7.4
Les Miserables,7.6,8
Life of Pi,8,8.2
Lincoln,7.5,7.4
The Lizzie Bennet Diaries,5.7,9.1
Looper,7.5,7.5
The Lorax,6.3,6.9
The Lords of Salem,5.2,4.9
Lore,7,7.5
The Lucky One,6.1,6.8
Madagascar 3: Europe's Most Wanted,6.9,7.2
Magic Mike,6,6.2
The Magic of Belle Isle,6.9,7.1
Man on a Ledge,6.6,6.8
The Man with the Iron Fists,5.4,5.4
The Master,7.1,6.7
Men in Black III,6.9,7.1
Mental,5.9,6.5
Mirror Mirror,5.4,5.8
Monster High: Ghoul's Rule,4,7
Moonrise Kingdom,7.8,7.9
Morgana,3.5,3.8
Mosquita y Mari,5.4,6.5
Much Ado About Nothing,7.2,7.7
No,7.4,7.5
Not Fade Away,6,5.8
The Odd Life of Timothy Green,6.4,6.9
Oh Boy,7.5,7.5
Okami kodomo no ame to yuki,8.1,8.2
One for the Money,5.1,5.6
The Pact,5.8,5.8
Papadopoulos & Sons,6.1,6.6
The Paperboy,5.7,5.9
Paradies: Liebe,7,7.1
Paranormal Activity 4,4.5,4.7
ParaNorman,6.9,7.2
Parental Guidance,5.8,6.5
Paris-Manhattan,6,6.5
Passion,5.4,5
Paulette,6.5,6.9
People Like Us,7.1,7.2
The Perks of Being a Wallflower,8,8.2
The Pirates! Band of Misfits,6.7,6.8
Pitch Perfect,7,7.7
The Place Beyond the Pines,7.4,7.3
Populaire,6.7,7
The Possession,5.9,6.1
Premium Rush,6.5,6.7
Price Check,5.5,5.2
Privacy,5.1,6.7
Prometheus,7.1,6.8
Quartet,6.7,7.1
Qwerty,5.4,6.6
Radio Rebel,6.1,6.6
The Raven,6.3,6.6
Red Dawn,5.3,6.2
Red Tails,5.8,6.4
Renoir,6.5,6.7
Resident Evil: Retribution,5.2,5.8
Rise of the Animals,3.6,2.5
Rise of the Guardians,7.1,7.9
Robot & Frank,7.1,7.1
Rock Jocks,4.9,5.5
Rock of Ages,5.8,6.2
Ruby Sparks,7.2,7.2
Ruroni Kenshin: Meiji kenkaku roman tan,7.5,7.9
Safe,6.5,6.6
Safety Not Guaranteed,7.1,7.1
The Sapphires,6.9,7.4
Sassy Pants,6,6.4
Savages,6.6,6.6
Seeking a Friend for the End of the World,6.7,6.8
The Sessions,7.2,7.3
Seven Psychopaths,7.2,7.2
Shelter,5.1,7
Sightseers,6.5,6.6
Silent Hill: Revelation 3D,5,5.2
Silver Linings Playbook,7.9,7.8
Sinister,6.8,6.8
The Skinny,6.1,6.1
Skyfall,7.8,7.8
Sleepwalk With Me,6.8,6.6
Smashed,6.8,6.7
Smiley,3.4,4.1
Snackbar,5.8,5.8
Snow Queen,5.1,5.2
Snow White and the Huntsman,6.1,6.5
Sparkle,5.2,6.1
Spring Breakers,5.5,5
Starlet,6.7,6.8
Stars Above,6.2,6.9
Steel Magnolias,4.9,5.9
Step Up Revolution,6.2,6.9
Stories We Tell,7.7,7.7
Strike Witches - The Movie,5.6,8.3
Struck by Lightning,6.1,6.8
Superman vs. The Elite,7.1,6.9
Supporting Characters,6.4,5.9
The Swing,no data,no data
Tabu,7.5,7.5
Taken 2,6.2,6.5
The Tall Man,5.9,6.2
Tango libre,6,5.7
Tears of Steel,5.6,5.4
Ted,7.1,6.7
That's My Boy,5.7,5.4
Think Like a Man,6.2,7
This Is 40,6.2,6.1
This Means War,6.2,6.8
Tim and Eric's Billion Dollar Movie,5.2,4.9
Tinkerbell and the Secret of the Wings,6.7,7.6
To Rome With Love,6.3,6.3
To the Wonder,6.2,5.5
Total Recall,6.3,6.4
The Twilight Saga: Breaking Dawn - Part 2,5,6.6
Underworld: Awakening,6.3,6.7
V/H/S,5.8,5.5
The Vow,6.7,7
Wanderlust,5.6,5.6
Warpaint,7.5,9
The Watch,5.7,5.6
What Maisie Knew,7.4,7.7
What to Expect When You're Expecting,5.4,6
The Woman in Black,6.4,6.6
Women's Day (Dzien kobiet),5.9,6.2
Won't Back Down,6,6.8
The Words,7,7.1
Wrath of the Titans,5.8,6
Wreck-It Ralph,7.8,7.9
Zero Dark Thirty,7.4,7.4
[REC]3 Genesis,5.1,5
a annan veg,6.8,6.4
11 Flowers,7,7.2
17 Girls,5.9,6.2
17 Miracles,5.4,7.3
30 Minutes or Less,6.2,6.1
50/50,7.8,7.8
A Dangerous Method,6.5,6.4
A Happy Event,6.4,7
A Little Bit of Heaven,5.9,6.6
A Lonely Place to Die,6.3,6.3
A Separation,8.5,8.3
A Simple Life,7.6,7.8
A Very Harold & Kumar 3D Christmas,6.4,6.2
Absentia,5.7,5.8
The Adjustment Bureau,7.1,7.1
The Adventures of Tintin,7.4,7.3
Age of the Dragons,3.3,3.8
Alamanya,7.2,7.6
Albatross,6.2,6.5
Albert Nobbs,6.5,6.9
Alien Armageddon,1.9,2
Aliens vs. Avatars,1.5,2.2
All Superheroes Must Die,3.8,4.5
Alps,6.3,6.4
Alvin and the Chipmunks: Chipwrecked,4,5.1
Alyce Kills,5.5,5.4
Amber Lake,5.6,6.3
And if we all live together,6.6,6.9
Another Earth,7,7.2
Another Happy Day,5.8,6.3
Apart,4.8,5.9
Apartment 143,5.2,5.1
Apollo 18,5.3,5.2
The Art of Getting By,6.6,6.6
Arthur,5.7,6
Arthur Christmas,7,7.3
The Artist,8,8.2
Atlas Shrugged: Part I,5.8,6
Attack the Block,6.6,6.7
Attenberg,6.1,6.2
Au cul du loup,5.9,5.9
The Awakening,6.4,6.7
Bad Teacher,5.7,5.7
Batman: Year One,7.4,7.2
Battle: Los Angeles,5.8,5.8
Beastly,5,5.9
The Best Exotic Marigold Hotel,7.2,7.5
The Big Year,6.2,6.2
Black Butterflies,5.9,6.7
Black Gold,6.7,6.9
The Black Power Mixtape 1967-1975,7.2,7.5
Blackthorn,6.6,6.5
Bridesmaids,6.8,7.1
Butter,6.2,6.3
The Cabin in the Woods,7.1,6.9
Cafe de Flore,7.2,7.8
The Caller,6,6.3
Captain America: The First Avenger,6.8,7
The Captains,7.1,7.1
Carnage,7.2,7.1
Cars 2,6.4,6.5
Catch .44,4.7,4.4
Cedar Rapids,6.3,6
Circumstance,5.6,6.8
Cloudburst,7,7.6
Codependent Lesbian Space Alien Seeks Same,5.6,7.2
Colombiana,6.3,6.7
Combat Girls,6.8,7.1
