M	CHARACTER	DIALOGUE
M	TIAMAT (V.0.)	still he dwells in rancid hate, having killed his generals and sucked their bones. We cannot break the rules of Zeus and interfere with the humans. But this poor creature can do our work and visit the would-be groom. What form of monster do you visit upon Perseus? There is an awful SOUND from the darkness of an archway.
M	TIAMAT (V.0.)	What form, dear Set? Why this... In the half-light appears the huge, deformed changeling:
M	TIAMAT (V.O.)	My Servant, your lonely solitude now ends... It's time to leave.
F	ANDROMEDA	You're late.
M	PERSEUS	I didn't know how to get this outfit on.
F	ANDROMEDA	I want to thank you for seeing me home. I was so flushed with wine I can't recall much of the evening. Perseus half smiles and turns to the crowd.
M	PERSEUS	Me either. watches from the back of the hall. When they make eye
M	BACK TO SCENE	Perseus is surprised by his feelings. Andromeda has seen At what point do you plan to tell them we're not getting married?
M	PERSEUS	Tell who?
F	ANDROMEDA	Them...
M	FROM BEHIND THEM	We see the ecstatic crowd of thousands, all celebrating
M	ROYAL HERALD (0.5.)	The Queen will speak! The room QUIETS as Cassiopeia moves front-and-center of
F	CASSIOPEIA	I won't be long-winded. You all know I am a modest person, no matter my rank. Some of the crowd react silently. Andromeda watches her watching from his throne. This is not a celebration of a betrothal... not the celebration of the happiness of two parents, or of our good people. Mild confusion in the hall, concern from the Royal Entourage.
F	CASSIOPEIA	This union represents new hope for a lasting peace! That is the only cause for celebration. The crowd reacts with exclamations and applause. Amoun My sweet Andromeda... grown into a fine young woman, confident and sure. Look at her! Isn't she beautiful? Her subjects agree loudly. Andromeda wishes this would
F	CASSIOPEIA	To my beautiful daughter... more beautiful than all the women of Joppa. More beautiful than the Gardens of Nineveh... Kepheus is about to pull her away. She throws him a
F	CASSIOPEIA	More beautiful than the turquoise ocean and its sublime Goddess of the Deep... Tiamat herself! My daughter is a beauty even a Goddess must envy. Amoun reacts in dismay. A distressed MURMUR roils the
F	CASSIOPEIA	I've gone on too long -- She stops with a look of sudden dread. The Great Hall TIAMAT, QUEEN OF THE DEEP, floats forward, parting the
M	TIAMAT	You have blasphemed powers beyond understanding... You, a stupid braying goat before the unfathomable galaxies. You dare put this frivolous, scrawny slut... above the infinite Goddess of the Deep! Tiamat tears off her cloak and STANDS NAKED. Her body, Fantasos, the priest who proselytizes for Tiamat in the religious ecstasy and outright lust. The celebrants shield their eyes, but Cassiopeia can't. her frame --
M	TIAMAT	Look upon the sublime and know your error. You'll not blink. Tell me now, mortal, how bright your preening urchin shines? No one dare look long at the Goddess. No one but
M	TIAMAT	People of Joppa, hear me. For the sacrilege of this arrogant creature, I will loose Leviathan upon you. The people react in terror. Cassiopeia starts to faint,
M	TIAMAT	I'm not finished. Hold your gaze. For thirty days, Joppa shall suffer the scorn of Leviathan. And on the final day, you will be wiped from the earth. Unless... Instant silence.
M	TIAMAT	unless you sacrifice that body so impertinently compared to this -- your beloved, worthless Princessa. Andromeda GASPS. Shock everywhere.
M	TIAMAT	This is my will, Joppa. Desolation or sacrifice. Choose your penance. You can thank your... . sickly, aged Queen. Clouds of black sea ink swirl and swallow Tiamat, then withered, collapses. Kepheus and Royal Aides rush to like, but it is big. We hear a deafening ROAR, which A lone FISHERMAN unloads nets from his boat. Suddenly, The fisherman is mesmerized as the horizon CLIMBS higher
M	KEPHEUS	Leviathan awakes...
M	AMOUN (O.S.)	. Leviathan -- First dweller of the deep. Hewn by Tiamat from the dark blood of the earth...
M	HER POV	A council of VICEROYS and MINISTERS gathered before Kepheus, who seems lost in thought, head down. Perseus
M	AMOUN	. All monsters of the sea are but shadows of Leviathan the Kraken -- colossal, rapacious, and nigh indestructible. The men turn to Kepheus; when he raises his face, he
M	KEPHEUS	My Queen lies near death. Am I now to choose between the survival of our state... and the life of Andromeda, my only child? Amoun watches Perseus, at the fringe of the group, expectantly. But Perseus looks only perplexed, an observer.
M	MINISTER OF DEFENSE	I beg you, do not even consider such a sacrifice -- Do you tell me only what you think I wish to hear!
M	KEPHEUS (CONT'D)	The citizens of Joppa are fighting for their lives. Would you have me gamble the city to save one girl? Again, Amoun looks to Perseus.
M	MINISTER OF DEFENSE	You need make no such choice, Your Highness. Andromeda must.be saved, and the city too.
M	REPHEUS	Impossible. No... We need only the will to do it.
M	KEPHEUS	You spoke the words -- the monster is indestructible! How can that be? Amoun alone takes notice: he spins toward Perseus, with
M	AMOUN	Perseus! You had something you wanted to say to the King? All eyes turn to Perseus, who shrinks before them, self-
M	PERSEUS	What? No, Master Amoun. I'm listening.
M	AMOUN	You're 'listening'? We're talking about the precious life of your betrothed. Perseus meets his gaze, confused.
M	PERSEUS	I'm a newcomer here. I would not presume to tell these men --
M	AMOUN	Exactly! A newcomer with a fresh perspective. Share your thoughts with the King, your future father- in-law. The ministers are puzzled by Amoun's persistence. Perseus, uncertainly --
M	PERSEUS	I know that I am young and have not seen much of the world, but it seems to me that nothing is indestructible. The Ministers react to the young man's arrogance.
M	SPYROS (O.S.)	I am far from young and have seen much of the world... and I agree with my son. Everyone turns to the new arrival: Perseus' adoptive
M	PERSEUS	Father, how did you find me?
M	KEPHEUS	I thought this boy's father was a God. How does a stranger walk unmolested into the Throne Room of the King?
M	AMOUN	I sent for him, Lord. This good man raised Perseus from infancy. He will help him now.
M	KEPHEUS	Help him with what?
M	SPYROS	With whatever is needed... Perseus approaches the King. Surprising himself --
M	PERSEUS	He will help me destroy Leviathan. Spyros does a double-take, then swallows: "Yeah, okay, sure."
M	UP ON THE BALCONY	Andromeda reacts, falling in love with Perseus.
M	KEPHEUS	But how? Perseus has no idea.
M	AMOUN	Majesty, we can seek the counsel of the Norn Sisters of Skolothia. They know the hidden ways of the Gods. If Leviathan can be slain, they'll know how to do it.
M	PERSEUS	We have thirty days to find its weakness. Twenty-nine.
M	PERSEUS	We'll leave tonight.
M	KEPHEUS	With what army? I dare not weaken our forces when the city is about to be besieged.
M	PERSEUS	We'll go alone. Yes. Give us a map. Amoun laughs. When some of the others join in, the King
M	AMOUN	My King, with your permission... The King assents, seemingly lost. Amoun speaks to Perseus.
M	AMOUN	I'll give you a map and much more. I'll go with you and bring a small band of comrades to help you on your mission. We can leave at first light. Diokles, the map. The men move to the work area, where the Aide selects a
