M	CHARACTER	DIALOGUE
M	ERIC	Too bad. You'll need one. He stops his horse and nods. They are all stopped at the entrance to the Dark Forest fifty Even the horses sense danger and start to whinny and back up. WE PULL UP, UP, UP until we can see the full scope of the
M	ERIC	Do exactly as I do. Eric carefully places one foot after the next on grassy stepping Once they're across the bog and onto dry land Finn takes a
M	ERIC	Exactly as I do. Eric puts a cloth to his face, gesturing for Finn and his guards Eric stops, bends down, spotting faint FOOTPRINTS in the dew. He 64aEXT. DARK FOREST - DAY. 64a Eric, Finn and the Guards move through a dark copse of trees.
M	ERIC	Pay them no mind. One of the Guards leans over a pool of water to drink when he The others turn as they hear a scream but there's no sign of Only Finn looks unconcerned. Eric stops senses something, holds up a hand. They reluctantly follow Eric. His first look at her gives him pause. Her face, her spirit,
M	SNOW WHITE	Let me go! She bites him. He grimaces and grabs her tighter and starts
M	SNOW WHITE	She's going to kill me! The Oueen! He ignores, keeps moving.
M	ERIC	Sure she is.
M	SNOW WHITE	Believe me! Her brother tried to cut out my heart. He stops, looks at her.
M	SNOW WHITE	I swear it. He somehow believes her. New game. Then...
M	FINN (O.S.)	Quick work! Eric looks up to see Finn and his men approaching. Snow White
M	SNOW WHITE	Him! He's the one! He came at me with a knife! Eric holds her tight, one arm around her neck.
M	FINN	Well done, huntsman. Hand her over.
M	SNOW WHITE	You can't trust him!
M	ERIC	What do you intend to do with her?
M	FINN	Why do you care? Finn nods and the Guards approach. Eric grips her tighter. You want her. Give me what I was promised.
M	FINN	Come now huntsman, you did your job well. Keep your word and hand her over.
M	SNOW WHITE	He'll betray you -
M	ERIC	Shut up! -
M	SNOW WHITE	He'll kill us both -
M	ERIC	I said, shut up! He puts his knife to her throat to quiet her. I'll keep my word when the Queen keeps hers. Finn shakes his head and laughs.
