M	CHARACTER	DIALOGUE
F	BLOMKVIST	He was there that day?
F	VANGER	Indeed he was.
F	VANGER	That's his daughter Cecilia's house. They don't speak.
F	BLOMKVIST	Does anyone speak to anyone on this island?
F	VANGER	Actually, Isabella - Harriet's mother - who lives there - - she speaks to Harald - which is one of reasons I don't speak to her. Cecilia's brother Birger lives there. BLOMKVIST Who doesn't he speak to?
F	VANGER	You, probably. Not that you'd want him to. He can be as unpleasant as Harald.
F	BLOMKVIST	I'm quickly losing track who's who.
F	VANGER	Oh, how you'll wish were it always so. Soon you'll know us all only too well - with my apologies. Out there is my nephew Martin's house; Harriet's brother.
F	BLOMKVIST	Who speaks to him?
F	VANGER	I speak to him. He runs the company now, as I think I told you.
F	VANGER	Someone shooting their dinner. Gunner probably. The caretaker. BLOMKVIST I just met him. VANGER He was 19 when Harriet disappeared. He lives over there. And you live here.
F	VANGER	Sorry? BLOMKVIST Your house.
F	VANGER	Yes, you're right. The man who hires the detective should always be kept on the suspects list.
F	SALANDER	I got a call from social welfare. I've been assigned a new guardian. He makes a sandwich. Refills a coffee cup. Begins
M	MORELL	I'd like to see the girl's room.
F	VANGER	It's down the hall.
M	MORELL	I thought this was your house.
F	VANGER	It is. She lives with me.
M	MORELL	Are her parents alive?
F	VANGER	Her mother is. VANGER This way. Morell follows Vanger down a hall - DET. MORELL I want to speak to everyone here. That'll take all night so you might want someone to put some coffee on.
M	YOUNGER VANGER	What about the search?
M	MORELL	First thing in the morning. YOUNGER VANGER No. We should do it now. She could be hurt out there.
F	VANGER	Please. I beg you. INTERCUT: Blomkvist reads, "authorized our patrol boat
M	MORELL V/O	We searched for days ... Eventually, much to his dismay - and mine - I had to talk to Henrik about calling it off -
M	MORELL V/O	The fact that I never found a body didn't surprise me. You can't dig up an entire island.
M	MORELL	But I also couldn't find a motive. Was it spontaneous? Was it planned? Did she know something someone wished she didn't? Was it about business? BLOMKVIST Business? She was sixteen.
M	MORELL	And very bright. Henrik told me he could easily imagine her running the business someday, which would mean someone else wouldn't.
F	BLOMKVIST	She was with some friends that day. At a parade. You must have talked to them.
M	MORELL	She told them she wasn't feeling well. She left early. But they also said she kept secrets from them, too. The main thing I learned talking to them for hours is that teenage girls are complicated.
F	BLOMKVIST	I have one.
M	MORELL	So you know. Did you bring the last gift Henrik received?
F	BLOMKVIST	It's at the National Forensic Lab.
M	MORELL	I can tell you what their report will say now: It's a flower common to Europe. All of them are. No prints. No DNA. lights the pipe. Blomkvist watches the tobacco glow.
F	BLOMKVIST	I wanted to ask you about this. The decades have dried out its pages. Dragon Tattoo Final 9/1/11 SZ
M	MORELL	She received this from Henrik the Christmas before. I studied it more times than I can say. I know every page of it. BLOMKVIST It's the last page I'm curious about. MORELL As was I.
F	BLOMKVIST	The only names not alphabetized. nods that he knows that only too well as he turns
M	MORELL	They're local Hedestad phone numbers. The first belonged to a woman named Margot, whose mother was Magda, who claimed she didn't know Harriet. The fourth, R.L., belonged to Rosemarie Larsson, an elderly woman who died a few years before. The other three were unconnected in any way that I could find. hands the address book back. It, and everything else
F	BLOMKVIST	I've reminded you of things you'd rather forget. I'm sorry.
M	MORELL	I can't forget it. It's my Rebecka Case.
M	MORELL	Every policeman has at least one unsolved case. Back then it was old Torstensson. Year after year he kept returning to one - taking out the files - uselessly studying them. As young men, we had to laugh. BLOMKVIST Was this also a missing girl case?
M	MORELL	No, that's not why I mention it. The Rebecka Case is something that happened before Harriet was born. I'm talking about the soul of a policeman. Poor Torstensson could never solve it, and could never let it go. And neither can poor Morell with his Harriet case.
M	BJURMAN	How's Mr. Palmgren doing? I was told he had a stroke of some kind. Terrible. BJURMAN What exactly do you do at this security company?
F	SALANDER	Make coffee and sort mail.
M	BJURMAN	But not full-time. Not even part- time consistently. They somehow got along without coffee or mail in July and August? BJURMAN How much do you earn there?
F	SALANDER	Enough.
M	BJURMAN	How much is your rent? Dragon Tattoo Final 9/1/11 SZ
F	SALANDER	I pay my rent.
M	BJURMAN	When's the last time you were late? SALANDER Never. BJURMAN Do you think that ring in your eyelid makes you attractive?
M	BJURMAN	Here's the problem. There a discrepancy between the obligation of Mr. Palmgren's guardianship and the management of your finances.
F	SALANDER	It isn't a discrepancy or a problem. It was clear to him I could manage my own finances. BJURMAN But that's not clear to me.
F	SALANDER	I'm not a child.
M	BJURMAN	No. You're not. But you were. And between then and now - - two years in the locked ward at St. Stephens, for violent aggression - failure to adapt to four foster homes and seven schools - arrested twice for intoxication, twice for narcotics use, and most recently for assault: a bottle smashed into a man's face. You may have conned Mr. Palmgren into thinking you've improved, but looking at this - - not to mention how you're looking at me now - I can see you haven't. So the Good-Old-Mr-Palmgren-Days are over. Starting now, you'll be given a monthly allowance. You'll provide me with receipts for your expenses.
M	BJURMAN (CONT'D)	If the numbers don't balance, I'll have to assume the difference is going to drugs.
F	SALANDER	I've been on my own since I was twelve.
M	BJURMAN	No. You've been a persistent burden to the State since you were twelve.
M	BJURMAN (CONT'D)	Ms. Salander? Please look at me. Because this is important. She does ... in a way that says, I'd like to kill you.
M	BJURMAN	This behavior you're displaying right now is elaborately documented here - - so it would come as a shock to no one if I chose an alternative to the lenient arrangement I just outlined. Is that what you're saying with your silence? You'd prefer institutionalization?
F	LIV	Mikael? We're going to the same place. Hop in.
F	LIV	I found him at death's door halfway up the hill.
F	BLOMKVIST	I'm afraid I'm a bit out of shape.
M	MARTIN	No, it's a climb for anyone. I should've warned you. Come on in. LIV I used to work in the company's petrochemical division in Goteborg. When it was sold, I went with it. MARTIN A dark day.
F	LIV	I live in Hong Kong now, but come back to Stockholm for family events, and when I do, I drive up to spend a couple days with Martin. MARTIN She comes for the moose steak.
F	BLOMKVIST	Is that what this is? MARTIN Something's open. You like this one, or would you like to try something else?
F	BLOMKVIST	That one's good.
F	LIV	I saw you on Sky News a while ago.
F	BLOMKVIST	That was a dark day.
F	LIV	Sorry to remind you of it. BLOMKVIST It's okay. There are worse things than libel - though I can't immediately think of one in my business.
F	LIV	You're writing a book now, Martin said. BLOMKVIST Henrik's biography.
F	LIV	I love Henrik. He's fascinating. Martin, too. Together they're the Old Sweden and the New.
F	BLOMKVIST	They are.
F	LIV	You know about Harriet, right?
F	LIV	You don't?
F	BLOMKVIST	I do.
M	LIV O/S	The family doesn't like to talk about it, but it can't just be swept under the rug.
M	MARTIN	What can't.
F	LIV	Harriet. Dragon Tattoo Final 9/1/11 SZ
F	BLOMKVIST	Maybe we could talk about that later.
M	MARTIN	We can talk about it now. Liv knows everything about my crazy family. Which is why she'll never marry me.
F	LIV	That's one reason. MARTIN Don't put that in your book. Anything else is fine. Harriet certainly. Everything changed after that. Not just the family, but the company.
F	BLOMKVIST	How so.
M	MARTIN	We're not Nordea or Ericsson, but we're still the largest family-owned company in the country. At the height, we had 40,000 employees. We have about half that now, and that downward slide - anyone can tell you - began after my sister's death. It broke Henrik's entrepreneurial spirit, and his heart.
F	BLOMKVIST	You were here that day?
M	MARTIN	Everyone was here, though I didn't get in until after the accident on the bridge. The 4:30 train.
F	BLOMKVIST	I know it well.
M	MARTIN	It was a terrible day. And the days after - searching and not finding her - were even worse. Liv sets her hand atop her boyfriend's.
M	MARTIN	This event, Mikael, has to be a big part of your book. She gives chase, pushes past people, catches up with the
F	CECILIA	Hi. I thought I'd come over and say hello. I'm Cecilia. INSERT of Cecilia's photo, taken when she was a teenager,
F	CECILIA	We're all uncomfortable with the idea of a chronicle of our family.
F	BLOMKVIST	It's not about the family. It's about Henrik and the company.
F	CECILIA	Like I said.
F	BLOMKVIST	It's not my intention to present a malicious portrait of anyone.
F	CECILIA	Unlike the one that landed you in court. BLOMKVIST Unlike that one. Correct.
F	CECILIA	So, what you're saying is, you're not really here to look into what happened to Harriet.
F	BLOMKVIST	I can't ignore such a dramatic event, but no, that's not by any means my focus.
F	CECILIA	So all those boxes Gunner carted down here - which are where? - in the closet now? - weren't Henrik's private investigation. I wonder sometimes who's crazier - my Nazi father or my obsessed uncle. of the photo of Young Harald in his Nazi uniform
F	BLOMKVIST	Since we're talking about it, since you brought it up, what was Harriet like?
F	CECILIA	I'm sure Henrik has told you. BLOMKVIST He was my age then, and so couldn't know what was really going on with a teenager any more than I can with my own daughter. You were her age.
F	CECILIA	Actually, my sister Anita was closer to her in age.
F	CECILIA	She knew Harriet better than anyone - certainly better than I did. You should talk to her.
F	BLOMKVIST	I'd love to, where is she. CECILIA If I had to guess - London. BLOMKVIST You don't know where your own sister lives?
F	CECILIA	I haven't seen her in years. We never really got along.
F	BLOMKVIST	I'm getting used to that comment.
F	CECILIA	That's the way it is when you're always after the same boys.
F	BLOMKVIST	People generally get over that sort of thing at a certain point.
F	CECILIA	Oh, I'm long over it, and won't ever have to worry about it again. She hates this place even more than I do. She left, moved to London and that was it. You couldn't pay her to send a Christmas card, much less visit. BLOMKVIST I'll try to track her down for you.
F	CECILIA	Don't bother. BLOMKVIST For myself then.
F	CECILIA	If you do, and try talking to her about us, don't be surprised if she tells you to fuck off.
M	TECH	You backed up?
F	SALANDER	Hard drives at home, yeah.
M	TECH	That's good. This one's dead.
M	SECRETARY V/O	I'm sorry, he's booked all day.
F	SALANDER	It'll take five minutes. It's important.
M	SECRETARY V/O	Hold, please. Salander waits. Watches people stare at her like they
M	SECRETARY V/O	Seven o'clock.
M	BJURMAN	Have you ever had an STD? When's the last time you were tested for HIV? Dragon Tattoo Final 9/1/11 SZ How many partners have you had in the last month? How many were men? last one seems to amuse him; none amuse her.
M	BJURMAN	I'm required to ask you these things. It's a matter of health.
F	SALANDER	Write down anything you want. sighs. Sets the form aside and looks at the BJURMAN Why do you need such an expensive computer?
F	SALANDER	For work.
M	BJURMAN	Making coffee and sorting mail.
F	SALANDER	I shouldn't even have to ask. I should have control of my money like before.
M	BJURMAN	And you will. Once you show me you can be sociable and get along with people. Can you do that? Shall we start with me? Shall we start now?
M	BJURMAN	If you're nice to me, I'll be nice to you. That's how normal people are.
M	BJURMAN	You've done this before. You know what to do. Do you want this computer or not?
M	BJURMAN	You feel that? That's gaberdine. Unzip them. And ... And ... I like the reticence. I prefer a whore who pretends she isn't. It's almost convincing. He grabs her hair and roughly pulls her head toward him. BJURMAN Here you go. As promised.
M	BJURMAN	I know you're not thinking about telling anyone about our date. Enjoy your computer games. She takes the check and leaves.
F	BLOMKVIST	Excuse me. I'm sure I should have made an appointment.
F	ANITA	It's fine. Please. Have a seat.
F	BLOMKVIST	I'm Mikael.
F	ANITA	Mikael. How do you do.
F	ANITA	You're looking for investment counseling, Mikael? BLOMKVIST I would if had any money to invest.
F	ANITA	Excuse me?
