M	CHARACTER	DIALOGUE
M	LOUIS (V.O.)	I'd seen her around, but never spoke to her. She was always with a guy. She was with one last night. She slows as she passes Louis, whispers, her lips brush his She just laid her address on me. On a napkin.
M	MICK (V.0.)	But she was still with a guy? Reggie returns to: THE GUY at the bar: 40s, hard like a vet.
M	LOUIS (V.0.)	I got it that she wasn't too into her date. She told me he'd be gone by ten if I was interested.
M	LOUIS (CONT'D)	I didn't keep the napkin. I work in real estate, I remember addresses.
M	MICK	Raul. Check that file you've got and see if the Police report has any of this. While Raul looks, Mick explains to Louis and Dobbs, can't
M	MICK (CONT'D)	Raul's already worked us a little miracle. He's managed to score a copy of the discovery file, everything the D.A.'s got. They'd have to turn it over eventually but it could have been weeks. Under which, Raul's checked the blue file, and...
M	RAUL	Nope. They don't have the other guy. They don't even have the bar.
M	MICK	All they've got is, Louis shows up and beats the crap out of her?
M	RAUL	That's it.
M	LOUIS	That is such bullshit--
M	MICK	Just keep telling me.
M	LOUIS (V.0.)	I didn't want to walk in on anything, so I got there early. His POV, shadow-figure of Hard-Guy approaching in the dark..
M	LOUIS (CONT'D)	I waited til the guy came out.
M	MICK (V.0.)	You see what he was driving?
M	LOUIS (V.0.)	A Corvette. Yellow. Hard-Guy gets in the Corvette, pulls out. So he leaves, and you go in... She saw it was me... The hallway inside was tight. I had to walk past her, y'know, so she could close the door. So I had to turn my back to her. We SEE this, she's behind him... as we hear, simply... Then, that was it.
M	MICK	What was what?
M	LOUIS	She hit me with something and I went down. It got black fast. SUDDEN POP TO, LOUIS STRUCK FROM BEHIND... Blacking out as he
M	MICK	Okay then. What do you remember next?
M	LOUIS	Waking up with two guys sitting on me. Holding me down. Couple of faggots from next door.
M	RAUL	Police report has them, homosexual couple from down the hall...
M	LOUIS	Like I said. Faggots. To which Raul says nothing. After a beat--
M	MICK	Go on, Louis.
M	LOUIS	I was still foggy when the cops came... BACK TO, LIVING ROOM... Louis is cuffed by now, hands behind She was on the couch telling all these lies... PARAMEDICS work on Reggie's bloodied face while, to a FEMALE
F	REGGIE	.he was like an animal! He said he'd rape me and kill me... then rape me again when I was dead... Louis looks around at his left hand in a plastic ba Bloody.
M	LOUIS (V.O. )	That's when I saw she'd set it up.
M	MICK	Set it up how?
M	LOUIS	Put blood on my hand. My left hand. But I'm right-handed, I'd use my right if I was going to... punch someone. Which is crazy. Louis mimes throwing a punch, in the air. Inept.
M	DOBBS	Louis never hit anyone in his life.
M	RAUL	What she did made sense. It's the right side of her face that was hit, she had to bloody your left.
M	MICK	Louis: You said she opened the door a crack. Did you see her face?
M	LOUIS	Not all of it... Mainly her eye. Her left eye.
M	RAUL (V.0.)	That's it!... BACK TO, LAW OFFICE. Raul... mimes the opening of the door...
M	RAUL (CONT'D)	She already had the injuries, on the right. She was hiding it from him when he steps in...
M	MICK	And then she clocks him?
M	LOUIS	Yes.
M	MICK	So our case is, she beat herself up? Mick takes the file, takes the 8xl0s, REGGIE'S PULPED FACE...
M	MICK (CONT'D)	We're saying, she pounded her face into hamburger meat, or had her boyfriend do it, hoping some far- off day a jury would give her a big fat reward?
M	LOUIS	She must have.
M	DOBBS	Of course. She saw his Porsche, his Rolex, it's known the family has money... I'll wager she's already filed in civil court. Mick. Thinks. Then, to Raul--
M	MICK	Okay, the police report. Let's hear how Reggie tells it.
M	RAUL (V. 0. )	"According to the victim, she was at home alone when the suspect presented himself at the door as someone she knew..." Louis is there, talks MOS. Reggie opens the rest of the way. "Upon letting him in, she was immediately struck..." WHICH WE SEE: The vicious repeated pounding of her face,
M	MICK (V.0.)	Does it say he knocked her down? She falls... Louis flies down on top of her...
M	RAUL (V.0.)	Yeah, then straddled her. "Held the victim by the neck until she agreed to cooperate..." Louis does as described, strangle-hold... Eventually lets her "The suspect maintained a position behind her, holding a knife against the left side of her throat..."
M	LOUIS	This isn't my knife.
M	MICK	Raul, are his prints on there?
M	RAUL	That's what the report says. I'm not surprised, if she put blood on his hands she's gonna put prints on his knife...
M	LOUIS	I told you, it's not "my" knife! Mick ignores, still intent on Raul's reading...
M	MICK	Okay, how's she say he went down?
M	RAUL	"As Ms. Campo entered the hallway, she pushed the intruder backwards into a large floor vase..."
M	RAUL (V.0.)	"Realizing her attacker would catch her at the front door, she ducked into the kitchen and seized a bottle of vodka..." Louis, struggling to his feet, HIT ON THE HEAD from behind..
M	MICK (V. D. )	And clonked him when he got up?
M	RAUL (V.0.)	That's how she tells it.
M	LOUIS	Those are all lies, this is bull--
M	MICK	If everything she said is a lie, this will be the easiest case ever. I'll tear her apart and throw her entrails into the sea. But Louis... You swear it's all lies? Is there anything you aren't telling me? Mick's eyes burn into him. Louis answers simply.
M	LOUIS	Nothing. Mick holds him in a long, hard, assessing stare. Over which, The way Louis tells it...
M	MICK	.it's just quirky enough. Mick and Raul coming out, after having a few. It's a lawyers'
M	RAUL	Quirky enough for what?
M	MICK	To be true. Maybe it went down just like he says. Anyway there's a. chance. In a party of law-types, we GLIMPSE MAGGIE, who catches sight
M	RAUL	An innocent client. Jeezus.
M	MICK	Yeah. But you know what my father said about innocent clients... Maggie's overheard this, gives the answer.
F	MAGGIE	He said there's no client as scary as an innocent man. Mick, seeing her, smiles and continues, a little tipsy...
M	MICK	That's right. Because if you screw up and he goes to prison, it scars you for life. There's only one verdict. You've got to put an N.G. on the board. Hey Mags. She reads the state he's in.
F	MAGGIE	Raul, if you let a man drive in his condition I think I can charge you both. The guys look at each other. Maggie swipes the keys--
M	MAGGIE (CONT'D)	I'll drive him to his house.
M	RAUL	And how will you get home?
F	MAGGIE	My friends brought me. I'll keep the car, he can pick it up at my place in the morning. Get in. And she gets in the driver's side, waits. Mick to Raul--
M	MICK	Okay, you know the moves. Make the rounds, check out Morgan's Bar...
M	RAUL	And Mr. Corvette...
M	MICK	And Regina Campo. The way Louis says she came on's got me wondering. Mick gets in and closes the door. As Maggie starts it up and
M	TUPAC	"God bless the dead and buried nigga, Don't worry if you see God first, Tell him shit got worse..."
F	MAGGIE	You've got to be kidding me.
M	MICK	Earl lays this stuff on me.
F	MAGGIE	Where is Earl tonight?
M	MICK	I never keep him this late.
F	MAGGIE	Hasn't he worked your fee off yet?
M	MICK	A while ago. But he likes driving, keeps him out of trouble... He's taking courses, too, in music.
F	MAGGIE	You can't tell by this stuff. She snaps the rap OFF.
M	MICK	You get used to it. Besides, Tupac, he helps me understand my clients. Most of them go to school on his
F	MAGGIE	Not Roulet.
M	MICK	Not Louis, no. Louis is my franchise player, he pays for all the rest... After a beat... Office gossip...
F	MAGGIE	I heard Smithson assigned Ted Minton to your case.
M	MICK	Never heard of him.
F	MAGGIE	He's brand new. Bright, though. Smithson's protegee. Naturally. Georgetown, buys his suits at Brooks, above all he's a guy... Mick looks over at her, as she flares, calms... Moonlight
M	MICK	Lorna made me my schedule. Saturday's fine to take Hayley.
F	MAGGIE	Saturday there's the Sponge-Bob movie...
M	MICK	I'm all over it. How's she doing?
F	MAGGIE	I'll know when I drop you and get home to relieve the sitter... What?
M	MICK	Moonlight becomes you. That's not doing me any good, Haller.
M	MICK	Thanks. She nods You're welcome. And pulls away. Mick's smile fades
M	VOICE OF A CHILD (HAYLEY)	Daddy, Mommy said I could call and say G'night. Sorry you're not there. G'night, Daddy.
M	MICK	Me too, baby. Then Mick hits "Play" again. BEEP.
M	VOICE OF HAYLEY	Daddy, Mommy said I could call... Off a FRAMED PHOTO: HAYLEY, B, curls, Irish eyes...
M	JUDGE FLYNN, 60	Top o' the mornin', Mr. McGinley! You know what day it is? Mick's client, DARIUS McGINLEY, black, 2B: In chains. Mick is
M	DARIUS	The day I get my sentence?
M	JUDGE FLYNN	That too. But it's also St. Patrick's Day. A day to revel in your Irish heritage. Darius doesn't get Flynn's joke. Mick cautions Darius, low--
M	MI CK	He's an asshole but just be cool. Darius scowls... under which Mick notices that RAUL has
M	JUDGE FLYNN	Do you know the origin of your name, Mr. McGinley?
M	DARIUS	Slave-holder, I 'spect. Why do I care who that motherfucka be?
M	MICK	Darius I told you--
M	DARIUS	The man's dissin' me! Alright: If you don't care about your name, then I don't. Let's get on with your sentence for the sale of rock cocaine and get you off to prison, shall we? Darius, pissed. Raul waves to Mick, wants to talk...
M	MICK	What couldn't wait, Raul?
M	RAUL	Wanna see a movie?
M	RAUL'S VOICE	We caught a break. The owner had a camera installed to watch his register after he caught the help dipping in last year...
M	MICK'S VOICE	And here comes Louis. Said as LOUIS enters frame, sits. MOS, orders a drink. We're:
M	RAUL	I had the tape transferred to disc, so I could manipulate, y'know... Raul starts to ZOOM... Shows Mick, on the SCREEN...
M	RAUL (CONT'D)	I'd like you to meet Reggie Campo.
M	RAUL'S VOICE	And Mr. X. The Corvette-man.
M	MICK'S VOICE	Are you sure?
M	RAUL'S VOICE	Wouldn't have popped a grand for the tape if I wasn't. Now watch... STARTS PLAYING IMAGE AGAIN, widen to full shot. Nothing for like a half-hour... He RACES THE TAPE FORWARD... Time code FLIES... He slows it Then... Here. Mr. X gets up, with pack of cigarettes, goes...
M	MICK'S VOICE	I know the place. They got a smoking porch out front.
M	RAUL'S VOICE	That's where he goese. Giving Reggie her chance. Watch her. She passes behind Louis, trails her hand along his
M	MICI{' S VOICE	That's not how he said it went down. He said she gave him her address, on a napkin...
M	RAUL'S VOICE	Whoa, wait, she just went to the little girls'. But she's gotta come back, no? And NOW HE FAST-FORWARDS TAPE AGAIN... And this time she
M	MICK	Do the cops have this?
M	RAUL	How can they? I got the one and only. It ain't a copy.
M	MICK	You're exceedingly beautiful.
M	RAUL	Wait. .Reggie and X decide to split...
M	RAUL'S VOICE	Check out his hand, his watch.
M	MICK'S VOICE	It's on his left. That's no good...
M	MICK	It means he's right-handed. But the facial blows were from the left...
M	RAUL	Slow down. You said you knew Morgan's. So you oughta realize... This image is in the mirror over the bar. That's how the owner set the camera to watch his register.
M	MICK	So everything's backwards...
M	RAUL	And X punches with his left.
M	MICK	I told you you were beautiful. Anything else?
M	RAUL	Yeah. But it's not on the tape. You know how you were wondering about Regina?
M	MICK	Yeah? Raul just looks at him. Off Mick,
M	MICK	Mickey Haller. Here to see Louis.
M	ROBIN	Mr. Roulet is with someone. He can't be disturbed. It's like he doesn't hear her-- walks calmly past her-- to --
M	ROBIN (CONT'D)	I'm sorry, Mr. Roulet, this man just came back here--
M	LOUIS	It's okay, Robin. You can go. Robin exits. Louis mutters an apology into his cell-phone and
M	LOUIS (CONT'D)	I was setting up a showing.
M	MICK	There won't be any showings in Pelican Bay.
M	LOUIS	Where's that?
M	MICK	It's a supermax prison where they send violent sex offenders. You'll fit in real good in your loafers.
M	LOUIS	What's the matter?
M	MICK	You lied to me, Louis. I'm about to go and see the new prosecutor, who's doing everything he can to put you away, and now I find out you've been lying. Tell me about Reggie Campo.
M	LOUIS	What about her? I've told you--
M	MICK	You didn't tell me. That you were going to pay her for sex. You think it's hard to find out somebody's not Snow White?
M	LOUIS	Alright yes, I was going to pay. She wrote down a price on the napkin, four hundred dollars...
M	MICK	Why didn't you tell me this in Cecil's office?
M	LOUIS	I didn't want my mother to know. Cecil tells her everything. And can we keep it down? Her office is on the other side of that door... Mick looks at Louis's concern. Believes it. Easing up...
M	MICK	This changes things. You see that, don't you?
M	LOUIS	I'm not a lawyer. Explain it to me.
M	MICK	Alright I will. You know that guy on the Venice boardwalk? The one who has all those plates spinning on sticks?
M	LOUIS	
