M	WAYNE	Remember those 'unusual requests' I used to make? I knew it! Up front, Alfred listens. Concerned.
M	ALFRED	You've got the wrong leg, sir.
M	WAYNE	You start with the good limb so it learns your optimum muscle patterns. Wayne swaps the brace to his bad knee. Puts his weight on it
M	ALFRED	It is terribly painful? You're welcome to try it, Alfred.
M	ALFRED	Happy watching, thank you, sir. Wayne shouts as the brace clicks home. He gets to his feet.
M	WAYNE	Not bad - Wayne executes a perfect roundhouse, knocking out a brick.
M	ALFRED	Master Wayne, if you're considering going back out there you need to hear some rumors surrounding Bane.
M	WAYNE	I'm all ears.
M	ALFRED	There is a prison. In a more ancient part of the world. A pit. Where men are thrown to suffer and die. But sometimes, a man rises from the darkness. Sometimes...the pit sends something back.
M	WAYNE	Bane.
M	ALFRED	Born and raised in a hell on earth.
M	WAYNE	Born in a prison?
M	ALFRED	No one knows why. Or how he escaped. But they know who trained him one he did...R¯'s al Gh¯l. Your
M	A U	mentor.
M	ALFRED	He plucked Bane from a dark corner of the earth and trained him in the blackest disciplines of combat, deception and endurance. Just like you.
M	WAYNE	Bane was a member of the League of Shadows.
M	ALFRED	Until he was excommunicated. And a man considered too extreme for R¯'s
M	A	al Gh¯l is not to be trifled with.
M	WAYNE	I didn't realize I was known for trifling with criminals.
M	ALFRED	That was then. And you can strap up your leg and put the mask back on. But it won't make you what you were.
M	WAYNE	Which was?
M	ALFRED	Someone whose anger at death made him value all life. Even his own.
M	WAYNE	If this man is all the things you say he is, then this city needs me. The Batsuit emerges from the cube.
M	ALFRED	Yes, this city needs Bruce Wayne. Your resources, your knowledge...not your body. Not your life. That time has passed.
M	WAYNE	I tried helping as Bruce Wayne, Alfred. And I failed.
M	ALFRED	You can fail as Bruce Wayne. As Batman, you can't afford to.
M	WAYNE	That's what you're afraid of - that if I go back out there I'll fail.
M	ALFRED	No. I'm afraid that you want to. Wayne looks at Alfred. Then turns to examine the Batsuit.
M	TRADER 2	You can't short the stock because Bruce Wayne goes to a party -
M	TRADER 1	Wayne coming back is change. Change is either good or bad.
M	TRADER 2	On what basis?
M	TRADER 1	I flipped a coin. Near the front entrance: a Food Delivery Guy is standing
M	TRADER 3	No. Rye. I told 'em rye. Trader 3 spots bad news on a screen. Alright, I'll take it.
M	FEMALE SECURITY GUARD	Rookie! Lose the helmet! (Points at a camera.) We need faces for cameras. At the secure entrance: the Courier pulls off his helmet. This is a stock exchange, there's no money you can steal - He dries up as Bane stops. Turns to him...
M	BANE	Why else would you people be here? Bane grabs Trader 1 by the throat and drags him across the
M	BANE	Enter your password. Or I send these men to your home.
M	BLAKE	Move it, now! We've got a situation.
M	CONSTRUCTION WORKER	Where can I move it?!
M	BLAKE	That way! Blake points - but SWAT vehicles pile in, blocking.
M	BLAKE	Get in your vehicle and stay there! Foley and the SWAT Commander, Allen, approach the entrance.
M	SECURITY CHIEF	You've gotta get in there!
M	FOLEY	This is a hostage situation -
M	SECURITY CHIEF	It's a robbery! They've got direct access to the online trading desk.
M	FOLEY	I'm not risking my men for your
M	SECURITY CHIEF	It's not our money, it's everyone's!
M	ALLEN	Really? Mine's in my mattress.
M	SECURITY CHIEF	If you don't shut these guys down, the stuffing in that mattress might be worth a whole lot less, pal.
M	FOLEY	Cut the fiber line - shut down the cell tower. That'll slow them down.
M	SHOESHINE MAN	They cut the fiber. Cell's working.
M	BANE	For now. How much longer does the program need?
M	SHOESHINE MAN	Eight minutes.
